Nom_Districte,Nom_Barri,poblacion,lat,lon
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",22767,41.3883219,2.1774107
Ciutat Vella,el Barri Gòtic,27878,41.3819033,2.1762519
Ciutat Vella,el Raval,49917,41.3795176,2.1683678
Ciutat Vella,la Barceloneta,14749,41.3806533,2.1899274
Eixample,Sant Antoni,39223,41.3784116,2.1617677
Eixample,el Fort Pienc,36621,41.3959246,2.1823245
Eixample,l'Antiga Esquerra de l'Eixample,44021,41.39,2.155
Eixample,la Dreta de l'Eixample,45667,41.3950373,2.1672069
Eixample,la Nova Esquerra de l'Eixample,59122,41.383389,2.149
Eixample,la Sagrada Família,53555,41.4044407,2.1748611
Gràcia,Vallcarca i els Penitents,16919,41.4155257,2.1422431
Gràcia,el Camp d'en Grassot i Gràcia Nova,36743,41.4045889,2.1667806
Gràcia,el Coll,8091,41.4179072,2.1480753
Gràcia,la Salut,14017,41.4104432,2.155289
Gràcia,la Vila de Gràcia,51833,41.4031783,2.1571662
Horta-Guinardó,Can Baró,9672,41.4160925,2.1624018
Horta-Guinardó,Horta,31259,41.4330206,2.1590883
Horta-Guinardó,Montbau,5343,41.4319032,2.1416084
Horta-Guinardó,Sant Genís dels Agudells,7826,41.4264567,2.1374905
Horta-Guinardó,el Baix Guinardó,26536,41.4114374,2.1686512
Horta-Guinardó,el Carmel,33694,41.4215706,2.1557995
Horta-Guinardó,el Guinardó,39061,41.4177335,2.1736316
Horta-Guinardó,la Clota,1071,41.4278574,2.1524066
Horta-Guinardó,la Font d'en Fargues,9952,41.425788,2.1659152
Horta-Guinardó,la Teixonera,12605,41.423173,2.1459698
Horta-Guinardó,la Vall d'Hebron,5990,41.4303788,2.1486244
Les Corts,Pedralbes,12649,41.3901401,2.112218
Les Corts,la Maternitat i Sant Ramon,24687,41.3819857,2.1256083
Les Corts,les Corts,47057,41.385244,2.1328626
Nou Barris,Can Peguera,2170,41.4348568,2.1657848
Nou Barris,Canyelles,6817,41.4417701,2.1664392
Nou Barris,Ciutat Meridiana,11351,41.4620341,2.1783979
Nou Barris,Porta,31363,41.4331882,2.1760336
Nou Barris,Torre Baró,3224,41.4580108,2.1839863
Nou Barris,Vallbona,1452,41.463372,2.1840515
Nou Barris,Verdun,13511,41.4440404,2.1758401
Nou Barris,Vilapicina i la Torre Llobeta,26547,41.4300186,2.1760694
Nou Barris,el Turó de la Peira,17456,41.4323672,2.1690681
Nou Barris,la Guineueta,15656,41.4403026,2.1704023
Nou Barris,la Prosperitat,27922,41.4423335,2.1794381
Nou Barris,la Trinitat Nova,7965,41.4497136,2.1838414
Nou Barris,les Roquetes,17321,41.4477984,2.1762713
Sant Andreu,Baró de Viver,2678,41.4499467,2.1995389
Sant Andreu,Navas,22790,41.4160445,2.1869379
Sant Andreu,Sant Andreu,58988,41.4366293,2.1911382
Sant Andreu,el Bon Pastor,15918,41.4359841,2.2051289
Sant Andreu,el Congrés i els Indians,15175,41.4237794,2.180821
Sant Andreu,la Sagrera,30965,41.4212221,2.186586
Sant Andreu,la Trinitat Vella,11160,41.4501759,2.1913441
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,13691,41.4052285,2.2133522
Sant Martí,Provençals del Poblenou,21902,41.4119484,2.2041249
Sant Martí,Sant Martí de Provençals,26976,41.4165186,2.1989683
Sant Martí,el Besòs i el Maresme,30724,41.4149787,2.2138765
Sant Martí,el Camp de l'Arpa del Clot,39804,41.4107542,2.1828156
Sant Martí,el Clot,27103,41.4099525,2.1908234
Sant Martí,el Parc i la Llacuna del Poblenou,17603,41.4007334,2.191342
Sant Martí,el Poblenou,34818,41.400527,2.2017292
Sant Martí,la Verneda i la Pau,31173,41.4232198,2.2029402
Sant Martí,la Vila Olímpica del Poblenou,9345,41.3898682,2.1968459
Sants-Montjuïc,Hostafrancs,16798,41.3752634,2.1431937
Sants-Montjuïc,Sants,47239,41.3753288,2.1349117
Sants-Montjuïc,Sants - Badal,25338,41.375466,2.1277096
Sants-Montjuïc,el Poble-sec,40300,41.3728061,2.1619718
Sants-Montjuïc,la Bordeta,21242,41.3689638,2.1375524
Sants-Montjuïc,la Font de la Guatlla,10860,41.3707824,2.1446756
Sants-Montjuïc,la Marina de Port,31647,41.3602964,2.1375842
Sants-Montjuïc,la Marina del Prat Vermell,2876,41.3538419,2.1423184
Sarrià-Sant Gervasi,Sant Gervasi - Galvany,49461,41.3944968,2.1380474
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,26836,41.4059829,2.1334046
Sarrià-Sant Gervasi,Sarrià,25282,41.399373,2.1215125
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",4962,41.4117009,2.1085618
Sarrià-Sant Gervasi,el Putxet i el Farró,30756,41.4058141,2.1391359
Sarrià-Sant Gervasi,les Tres Torres,16376,41.3970481,2.1299628
