NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
HOSPITAL DE BELLVITGE,124851,139563,138700,157400,158459,127238,131824,99301,127022,174709,153520,128653
BELLVITGE,178707,184213,180510,194067,203862,177301,169714,130227,180220,217483,202036,190994
AV. CARRILET,330831,343364,336439,360360,372295,338170,351495,279569,340753,411361,380429,358215
R.J.OLIVERAS,196542,203715,200477,216396,248815,225126,270079,220055,202691,236961,217231,203680
CAN SERRA,171092,175539,177958,186527,196250,211834,319469,262567,191598,214153,201527,193777
FLORIDA,221434,222136,228920,236567,247741,243766,287716,250282,236210,261794,249528,248820
TORRASSA,387523,394820,406722,424253,442195,419411,434129,380627,409874,456923,430499,420334
STA. EULÀLIA,461782,468525,471368,494061,509941,471896,470672,378180,453796,528705,498770,482724
MERCAT NOU,139596,141957,144174,148878,152735,143968,143505,113089,134474,153713,152669,148502
PL. DE SANTS,197448,205730,202142,213426,222336,207816,200497,168335,198739,229738,217212,207323
HOSTAFRANCS,163813,168507,166701,176893,180991,166175,161287,126414,167404,194512,180857,177138
ESPANYA,807222,867553,917150,926420,989886,873019,877460,707413,773471,927861,853567,808808
ROCAFORT,391877,400345,390963,410019,415503,380122,390801,283706,354817,434477,405090,374078
URGELL,339334,350145,351964,364990,371118,352787,398417,293675,320555,378214,356709,334216
UNIVERSITAT,456183,489639,487771,500743,511310,434718,514475,412949,433654,520958,492612,472446
CATALUNYA,630765,637823,653311,679985,690008,654271,737057,600476,611260,699995,660926,708560
URQUINAONA,296950,318425,322822,330586,329696,307253,323351,242581,290355,346858,328106,314052
ARC DEL TRIOMF,478525,520277,545470,558008,592678,556645,610820,516043,547042,571123,521056,485095
MARINA,350322,383977,380948,390933,402564,354489,358328,247793,314727,386220,357252,305851
GLÒRIES,568435,605583,552966,571631,593700,539175,574108,501374,551181,677832,630960,585721
CLOT,421762,435265,450256,463714,476300,449114,445542,345964,399202,466964,443859,418408
NAVAS,224580,224597,226588,233325,238862,222552,222449,175316,214965,246479,234447,233748
SAGRERA,412376,422036,413279,436848,439417,394543,391455,294529,386757,466734,436818,423848
FABRA I PUIG,551663,575614,562039,585732,662529,586178,550424,413605,539806,641441,613456,587565
ST. ANDREU,354302,361425,354172,372914,388412,353505,333993,243126,339595,407562,395394,392882
TORRAS I BAGES,224698,222407,220794,230520,236385,217980,212331,162168,205377,252648,244741,238719
TRINITAT VELLA,126387,127897,129901,135396,141994,137257,141942,108600,126871,148843,139236,133269
BARÓ DE VIVER,40152,42045,40248,43261,43838,37168,37167,27307,37025,46113,43255,40177
STA. COLOMA,305974,313148,309862,323483,330692,302852,301832,238083,295737,344718,324432,321912
FONDO,416736,418769,426511,436560,454897,428470,441438,388443,425603,478799,458007,458976
PARAL.LEL,288950,300798,311872,323381,334551,294765,0,0,282964,333784,313094,287356
SANT ANTONI,381093,372179,381275,392082,403256,298007,7,42857,310338,380117,367096,363214
UNIVERSITAT,226071,241777,241742,247740,252611,216650,0,0,217835,259956,246206,234939
PG. DE GRÀCIA,271989,265141,270665,292020,290954,239406,0,0,252338,301603,291012,305090
TETUAN,241962,251412,249156,264832,265886,191241,0,24153,189186,239811,227960,207990
MONUMENTAL,188178,196090,199586,206455,210309,151936,0,20857,153209,193369,179680,168897
SGDA. FAMÍLIA,402385,416443,454410,476188,485015,427652,175947,162610,425403,470968,419871,419118
ENCANTS,201514,203971,204017,216206,215892,186073,129950,104206,181233,211097,198962,190309
CLOT,203997,210985,217229,224726,231599,214674,207494,162741,194750,228347,216213,205744
BAC DE RODA,249740,254239,249800,265386,271000,226239,205979,154337,226280,270633,261027,249901
SANT MARTÍ,284730,283651,283682,297288,300534,250441,229978,174811,253601,305003,293904,280803
LA PAU,161996,164380,161962,170545,172646,157689,151631,180211,146784,174822,163025,160738
VERNEDA,56933,56950,57873,58756,62250,55239,51210,42816,54649,65571,61923,58694
ARTIGUES | S. ADRIÀ,366189,368229,368589,374784,402027,363125,349385,282274,347823,401931,379589,370700
SANT ROC,157585,157204,158331,162882,174951,158589,160313,131022,156105,181839,168986,162904
GORG,120152,119365,122582,128284,138308,120708,119446,126251,116697,138744,133261,141336
PEP VENTURA,169024,173937,169012,177028,184143,164798,156375,117284,160204,189036,172264,158747
BADALONA | POMPEU FABRA,368295,383831,375508,401175,445242,374102,364429,259104,356918,432534,399639,369529
Z.UNIVERSITÀRIA,159936,200322,189447,209138,210567,162359,148427,100034,189692,265908,230406,188889
PALAU REIAL,193793,243948,237480,275986,262475,199870,212811,135792,219887,329994,277162,220791
MARIA CRISTINA,259757,264372,254009,278573,278941,253327,259526,186239,243870,302108,278625,267847
LES CORTS,189999,196599,199340,214140,215364,192092,183427,134879,181695,225476,202796,190981
PL. DEL CENTRE,141327,145997,146154,146204,152493,137980,129972,99762,135183,161761,150601,142436
SANTS ESTACIÓ,276583,294217,298598,315087,324025,297427,292290,244251,282312,329850,300679,278647
TARRAGONA,112232,114786,116661,124290,128463,111229,112606,91044,119859,147206,138780,126217
ESPANYA,351007,386963,436170,436293,473001,408943,395094,309380,340308,458517,419457,390124
POBLE SEC,384631,390092,396779,412015,417183,389479,406109,313669,372995,445262,416094,392649
PARAL.LEL,413014,429686,445684,461668,477648,421603,548698,468666,403012,474769,445431,409464
DRASSANES,351993,364299,383338,411248,432765,390409,423343,380138,402546,475477,405096,428219
LICEU,561293,605680,661247,678771,692782,648718,679561,630189,606190,674426,609179,620682
CATALUNYA,756961,770673,789629,816745,835728,786752,860576,691849,729152,851626,800217,846863
P. DE GRÀCIA,374129,393557,405008,447623,439321,392427,408699,348633,376708,456557,406697,402737
DIAGONAL,432771,449536,450168,485103,488701,451226,451553,379889,409913,483307,445690,419152
FONTANA,385274,403906,412611,429771,427899,392378,380083,314945,348445,429425,402244,373214
LESSEPS,414900,450900,451368,484075,478866,429130,442172,340533,399942,486165,424281,372419
VALLCARCA,213875,225555,224247,236847,242095,213155,212239,163382,206349,249700,231994,216223
PENITENTS,111308,116602,111223,119116,120813,107148,98732,65511,98589,126345,116570,105376
VALL D´HEBRON,184085,190175,184089,196397,193824,171422,170663,130687,170349,218734,203350,180746
MONTBAU,116253,122365,118564,124963,127063,114175,114681,85103,109944,133374,125058,117065
MUNDET,161567,196519,185244,210215,198513,139688,109605,77331,158405,246941,209217,165897
VALLDAURA,102093,105758,101746,109408,109435,97445,83143,63901,96044,118092,111183,102139
CANYELLES,124953,130029,122473,132862,131627,114539,107260,78418,116328,148900,137413,125761
ROQUETES,115812,115774,115213,121232,123311,112842,109954,88941,109521,130580,121880,115399
TRINITAT NOVA,79265,82832,79704,84991,87542,78605,74426,58099,74324,93864,86526,80116
LA PAU,79789,80964,79772,84000,85034,77667,74684,0,72297,86107,80296,79169
BESÒS,109253,110273,109260,115193,118948,108272,90958,19718,96709,114981,107681,106556
BESÒS MAR,170972,170746,173339,178525,188418,175359,141920,34260,152311,183809,172760,167064
MARESME - FÒRUM,246667,258036,271776,320786,361737,313817,253331,57196,244976,296097,270226,257834
SELVA DE MAR,169124,182383,174472,186505,190820,174504,204528,237447,156684,198535,174430,155723
POBLENOU,251449,267201,255418,280022,299221,285587,266261,199696,280951,286956,247458,246471
LLACUNA,196191,212864,201418,218039,229711,203725,191764,145866,190728,229439,204352,175376
BOGATELL,128597,143097,140543,147441,155171,141448,136598,96897,141372,169601,155126,133124
