NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DESEMBRE
HOSPITAL DE BELLVITGE,63096,67428,82451,77567,83153,81322,73827,54596,95224,108023,116915,86988
BELLVITGE,88596,99012,118414,113668,123216,123649,110651,84746,126170,146047,146233,135103
AV. CARRILET,142792,158926,191916,179219,198128,202681,190608,151788,208654,245159,250132,227269
R.J.OLIVERAS,99051,99570,126625,121133,136007,143482,132283,101601,135208,155034,161569,144304
CAN SERRA,84871,90004,106794,102755,111536,113857,106724,91270,115605,130373,129269,125524
FLORIDA,120558,126347,147865,138648,149924,154294,151482,133257,153852,169611,168285,169209
TORRASSA,194201,205571,245460,231957,255092,261521,254031,226099,263851,294908,298936,291904
STA. EULÀLIA,245155,262848,309621,291558,316150,322439,305275,248927,323284,363596,371373,347005
MERCAT NOU,77605,81495,95432,92338,98417,99651,93219,73482,99963,114003,116943,107358
PL. DE SANTS,90923,98828,115136,106843,120593,124412,117038,94919,132590,156228,160034,146275
HOSTAFRANCS,79004,84766,99585,96452,96603,102310,95731,75728,111172,125607,130606,118370
ESPANYA,284460,299158,376751,332219,358321,383012,380842,356881,507167,604671,623789,571432
ROCAFORT,160514,177199,211570,201092,220842,228707,224415,171192,261817,291288,302919,264592
URGELL,138474,158414,186799,175202,193778,197504,185343,146278,214195,246113,256474,224771
UNIVERSITAT,187419,195311,235344,226596,249416,257773,253213,206168,300942,359579,370856,334989
CATALUNYA,243665,252336,329726,315346,358845,379351,402257,347146,434873,514906,538137,528918
URQUINAONA,120032,127884,154952,146526,163395,168826,165027,133086,186006,220389,237310,216412
ARC DEL TRIOMF,179333,202013,243888,237963,271092,280063,291944,262797,325221,374201,364668,329990
MARINA,115717,129211,157825,147849,170160,179750,162375,122620,198868,256956,276169,220900
GLÒRIES,219937,229799,300989,275802,314999,334419,332412,278980,356807,436233,471106,408089
CLOT,195932,212628,254539,245627,265938,277987,273387,218773,282203,309850,331700,296797
NAVAS,112742,117389,138185,133475,141681,146785,137389,109442,149292,169218,174257,165065
SAGRERA,203333,218876,264094,250522,273898,276484,256701,203750,287096,334854,347524,309412
FABRA I PUIG,265434,255675,343146,331842,367216,376232,352479,274886,377496,448085,449675,416127
ST. ANDREU,171120,183499,220930,207698,232244,241413,218520,161237,242270,276309,295313,272141
TORRAS I BAGES,113591,118833,150943,144465,154972,161602,155467,121995,158454,181480,192274,186716
TRINITAT VELLA,70219,75403,90331,83948,92985,92767,89228,70956,92198,98511,100820,92956
BARÓ DE VIVER,21830,24807,27727,26711,28617,26977,24188,18986,28214,31827,33099,28516
STA. COLOMA,162621,176174,213544,199412,217441,225827,212636,164719,222319,248914,256782,239612
FONDO,226765,236836,285747,270618,289042,298564,292554,252499,299025,330569,334561,327664
PARAL.LEL,127361,134490,159192,149361,163745,171564,170066,148141,186687,224349,227473,198995
SANT ANTONI,192160,200361,231418,223238,244664,246538,239335,198999,252483,286143,293854,267590
UNIVERSITAT,93801,98474,118013,113703,124857,127495,126562,103569,149347,177125,182830,164734
PG. DE GRÀCIA,94860,99237,123911,119692,132349,141793,151896,123146,157770,190426,198575,195662
TETUAN,90017,101860,114385,110984,121424,122961,116819,90863,139224,162904,168349,145410
MONUMENTAL,76147,82453,95749,91261,100837,106028,100327,80984,115666,133685,136418,119769
SGDA. FAMÍLIA,137246,147928,176044,168171,192294,210702,229127,214231,248922,289294,285657,286155
ENCANTS,96998,100296,121249,115783,125816,130227,122195,95080,133344,151624,157218,143700
CLOT,96149,103544,123477,118678,128668,133825,130897,105163,137462,153347,160078,142148
BAC DE RODA,117848,126803,150165,141936,154095,156815,144289,110896,159264,181821,192158,172739
SANT MARTÍ,143757,152334,178367,168963,182406,184035,167960,131128,185048,212754,221513,203914
LA PAU,73526,77610,92624,88777,94897,97134,93605,75882,100542,113266,117808,109412
VERNEDA,27387,30218,35377,33154,35835,36973,35810,28320,38278,41672,40404,37147
ARTIGUES | S. ADRIÀ,191662,206152,243109,229074,248318,255255,249777,208748,259138,285594,290811,279527
SANT ROC,80042,84619,98803,93446,100107,104520,106370,89199,108337,117653,120054,109891
GORG,53114,57355,70630,67584,74102,77661,74976,60543,78751,85180,88785,85333
PEP VENTURA,79700,88535,105155,99720,107630,113952,108921,82715,115727,126680,133294,118839
BADALONA | POMPEU FABRA,179938,192867,235636,222257,242720,262036,255420,191044,259034,296238,299892,264561
Z.UNIVERSITÀRIA,63690,74174,94923,91429,100301,97734,71273,50075,131504,169332,152457,105606
PALAU REIAL,54576,64653,91482,90318,96587,105071,85196,63827,171747,237681,246893,175162
