NOM ESTACIÓ,GENER,FEBRER,MARÇ,ABRIL,MAIG,JUNY,JULIOL,AGOST,SETEMBRE,OCTUBRE,NOVEMBRE,DECEMBRE
HOSPITAL DE BELLVITGE,113311,122722,144905,114099,142291,121160,110630,88137,124303,148838,152308,109597
BELLVITGE,162596,163697,189941,160362,188333,166069,151658,118968,172642,187911,189696,165309
AV. CARRILET,293642,299674,344193,303955,343188,312504,293853,282432,309785,348639,352683,313117
R.J.OLIVERAS,179061,182830,211954,185361,210195,190093,174452,134517,184424,206954,211022,181179
CAN SERRA,153594,151643,181566,164294,180000,170278,161019,135078,164246,179885,179534,166507
FLORIDA,199066,196112,224095,207217,229059,220016,214893,189982,214701,229986,228787,218675
TORRASSA,346174,345818,402194,372893,406864,380858,376564,329399,379123,410263,406091,384238
STA. EULÀLIA,423001,414775,478445,431607,485905,445230,426762,348713,437460,483729,477831,442519
MERCAT NOU,132965,131174,150473,136937,153989,142728,132380,104821,136039,144388,144472,135576
PL. DE SANTS,181983,181942,210080,186362,210476,193055,175914,147602,187391,210678,209788,191735
HOSTAFRANCS,152134,152955,174449,152373,174455,159302,144292,114682,157003,170387,169699,155748
ESPANYA,708440,749274,886353,823269,882777,786018,801761,633680,806132,961556,878514,803772
ROCAFORT,348204,352402,398855,347656,402391,367797,337507,254320,355379,401652,405029,353420
URGELL,309963,313347,354130,307668,351165,323986,299600,233119,312317,350338,348108,311353
UNIVERSITAT,426903,427919,496386,426999,476511,424949,408141,320743,425659,495902,500087,461676
CATALUNYA,611403,592666,678578,646017,684419,627693,684908,567608,611736,693523,686063,701411
URQUINAONA,265548,269396,310251,273612,307938,270114,217468,178514,269567,307819,314590,287425
ARC DEL TRIOMF,436800,444253,515004,502581,527476,507583,557314,474797,519823,543814,516726,464611
MARINA,316298,334493,371863,322341,371061,347230,410075,295807,334843,386787,388258,305620
GLÒRIES,544902,570923,623871,559949,620257,574276,593793,461408,530521,597058,611936,542045
CLOT,366768,371110,433943,392328,436288,413387,410966,335300,402207,449683,438798,395582
NAVAS,198241,197283,228566,202738,229414,213230,201532,163216,205197,228237,229225,218041
SAGRERA,387450,391888,452736,393373,449238,413525,393938,308579,378037,429956,433787,379209
FABRA I PUIG,493698,488963,569637,495688,566214,511990,498953,382579,505319,571064,575973,524143
ST. ANDREU,324068,319562,367338,313344,368768,331061,305084,223341,320929,354111,377880,346980
TORRAS I BAGES,214124,203984,232364,203404,228330,216201,216006,166822,206024,229144,230667,223498
TRINITAT VELLA,111668,107945,125514,111899,126377,118919,126427,93840,115761,128824,127772,116493
BARÓ DE VIVER,35612,36224,43547,36121,42752,37597,34403,26043,39109,43844,43809,36354
STA. COLOMA,286061,280881,327305,285861,324647,298129,279457,219161,295119,319736,322095,297794
FONDO,383605,372236,431934,390494,425807,403645,393701,335424,395567,424734,429669,416633
PARAL.LEL,258583,257992,303715,285315,308821,287058,280135,235681,277532,312683,303088,276478
SANT ANTONI,338151,321363,374222,335861,377474,352986,323273,274210,347069,389467,386827,354541
UNIVERSITAT,210636,211459,244838,211242,236191,210210,201382,159381,210469,244862,246823,227199
PG. DE GRÀCIA,243796,226975,263652,253433,265180,240539,184773,161141,241672,276565,282279,288027
TETUAN,202865,204567,242125,211777,241055,222964,236151,183945,219964,254579,254406,219740
MONUMENTAL,169100,170925,198520,178690,204178,185138,173446,144114,179863,204175,196725,174276
SGDA. FAMÍLIA,365657,366702,423127,434034,456602,425015,452697,416564,416907,459870,430619,424304
ENCANTS,182835,180373,205503,183745,210477,195974,184411,146161,188977,209785,207528,189969
CLOT,178438,178982,207827,188621,210500,199626,196452,160334,194359,216389,214523,193799
BAC DE RODA,229741,226228,257432,223927,258744,236572,226646,174707,226490,254439,257227,231548
SANT MARTÍ,256101,250644,291041,250536,293744,266057,255542,202747,260400,296125,297741,265343
LA PAU,145430,143504,165666,146445,165733,156840,148454,123546,150199,165493,165135,152744
VERNEDA,51939,50654,58044,50949,58193,56647,55338,46461,53934,58638,58584,51855
ARTIGUES | S. ADRIÀ,336423,324768,377269,341374,381028,360770,351308,294849,349204,377760,376281,358398
SANT ROC,138173,135868,151466,138697,157327,150498,149177,128095,147254,162304,162675,149632
GORG,106738,113872,120717,109746,120211,120066,112265,89753,112356,124828,129015,129128
PEP VENTURA,149347,149559,176246,152315,174947,167787,160369,124950,165699,181192,179113,156247
BADALONA | POMPEU FABRA,325315,329482,392289,342422,388244,378874,363409,283951,354510,395160,390199,345191
Z.UNIVERSITÀRIA,145790,178461,221726,160757,210363,146175,110159,76924,168365,207617,212423,154418
PALAU REIAL,191116,234023,313679,246627,284008,190655,153631,97459,245013,301357,290105,208458
MARIA CRISTINA,248393,247153,282086,247918,283481,249760,236984,180227,243710,271040,270916,244547
LES CORTS,181565,193556,225671,201892,225622,194525,178898,135325,181398,209188,200801,179472
PL. DEL CENTRE,129661,131002,152218,130423,150053,132477,121112,94181,131978,152688,149729,134003
SANTS ESTACIÓ,250025,262979,306653,275827,306303,284303,281716,241681,280791,311324,298584,262086
TARRAGONA,100412,102565,120086,106311,124352,106193,101589,81971,111705,122472,120171,106680
ESPANYA,343186,353251,429097,382932,424656,343843,318696,262192,344715,414341,379229,347345
POBLE SEC,348970,351374,401043,358215,402110,351796,353126,282738,363786,406540,393542,359728
PARAL.LEL,369701,368580,433579,407642,440814,410474,400471,336839,396777,446315,432675,395626
DRASSANES,327097,330306,378677,388432,406217,381634,440071,379299,381723,426080,382091,378217
LICEU,496200,516399,583941,634458,637222,592264,702573,649886,620613,661749,611008,614574
CATALUNYA,732485,714640,812114,772127,815978,749360,809273,657999,727491,830235,827963,833465
P. DE GRÀCIA,327583,339911,394117,389354,393079,359339,324731,288558,363783,425881,411730,382576
DIAGONAL,386782,394771,456086,429877,468233,423016,429648,387170,417645,471547,452062,419187
FONTANA,354705,362596,416430,372066,412889,376413,379777,337374,361368,415762,406093,364188
LESSEPS,390458,404545,466215,427093,476628,427689,439743,361865,425008,480793,445994,384187
VALLCARCA,211100,176256,215788,203652,261814,233929,210603,194529,215780,232004,218019,200096
PENITENTS,99318,103711,118694,97602,117866,102656,89522,64796,98814,117323,113790,98692
VALL D´HEBRON,164510,166708,193238,162003,189951,169124,157455,127108,167956,194713,197987,163002
MONTBAU,104694,106157,122878,105190,122091,109887,103070,81342,107521,123488,119007,106278
MUNDET,148388,171904,214436,162522,199217,137841,105392,75439,164505,233244,219637,153885
VALLDAURA,92385,91893,108682,92524,106834,93166,79466,61063,85799,107047,106707,92900
CANYELLES,114949,115917,134761,110610,130001,112874,109207,80459,116530,138762,133050,112282
ROQUETES,106132,104642,121773,103558,119828,111880,110914,90440,109035,120297,119445,107666
TRINITAT NOVA,69454,71301,83333,70458,81134,73010,69360,56125,72866,82713,83047,71325
LA PAU,71629,70681,81597,72130,81630,77250,73119,60851,73978,81511,81335,75232
BESÒS,94390,93569,107722,96997,109335,98110,78293,69822,100674,111195,110591,102747
BESÒS MAR,148573,142969,168136,153467,172554,162476,140104,129036,154997,171523,171202,158131
