NOM_ESTACIO,DATE,DEMANDA
AEROPORT T1,2022-01-01,59061
AEROPORT T1,2022-02-01,62552
AEROPORT T1,2022-03-01,84724
AEROPORT T1,2022-04-01,111687
AEROPORT T1,2022-05-01,114367
AEROPORT T1,2022-06-01,119765
AEROPORT T1,2022-07-01,121976
AEROPORT T1,2022-08-01,127736
AEROPORT T1,2022-09-01,125332
AEROPORT T1,2022-10-01,128826
AEROPORT T1,2022-11-01,109113
AEROPORT T1,2022-12-01,104390
AEROPORT T1,2023-01-01,111617
AEROPORT T1,2023-02-01,117996
AEROPORT T1,2023-03-01,130975
AEROPORT T1,2023-04-01,145050
AEROPORT T1,2023-05-01,143216
AEROPORT T1,2023-06-01,133939
AEROPORT T1,2023-07-01,150745
AEROPORT T1,2023-08-01,160270
AEROPORT T1,2023-09-01,147845
AEROPORT T1,2023-10-01,149108
AEROPORT T1,2023-11-01,141540
AEROPORT T2,2021-01-01,4349
AEROPORT T2,2021-02-01,3981
AEROPORT T2,2021-03-01,4767
AEROPORT T2,2021-04-01,4780
AEROPORT T2,2021-05-01,6455
AEROPORT T2,2021-06-01,12485
AEROPORT T2,2021-07-01,24597
AEROPORT T2,2021-08-01,29995
AEROPORT T2,2021-09-01,33613
AEROPORT T2,2021-10-01,40873
AEROPORT T2,2021-11-01,38494
AEROPORT T2,2021-12-01,32447
AEROPORT T2,2022-01-01,27310
AEROPORT T2,2022-02-01,36836
AEROPORT T2,2022-03-01,47027
AEROPORT T2,2022-04-01,53791
AEROPORT T2,2022-05-01,55021
AEROPORT T2,2022-06-01,49088
AEROPORT T2,2022-07-01,46236
AEROPORT T2,2022-08-01,35107
AEROPORT T2,2022-09-01,37857
AEROPORT T2,2022-10-01,42912
AEROPORT T2,2022-11-01,35832
AEROPORT T2,2022-12-01,31414
AEROPORT T2,2023-01-01,40057
AEROPORT T2,2023-02-01,41490
AEROPORT T2,2023-03-01,46292
AEROPORT T2,2023-04-01,52366
AEROPORT T2,2023-05-01,54055
AEROPORT T2,2023-06-01,47674
AEROPORT T2,2023-07-01,50830
AEROPORT T2,2023-08-01,50338
AEROPORT T2,2023-09-01,52518
AEROPORT T2,2023-10-01,59199
AEROPORT T2,2023-11-01,54231
ALFONS X,2021-01-01,128976
ALFONS X,2021-02-01,134840
ALFONS X,2021-03-01,159040
ALFONS X,2021-04-01,149566
ALFONS X,2021-05-01,159939
ALFONS X,2021-06-01,166533
ALFONS X,2021-07-01,158983
ALFONS X,2021-08-01,126415
ALFONS X,2021-09-01,172651
ALFONS X,2021-10-01,201065
ALFONS X,2021-11-01,208034
ALFONS X,2021-12-01,184883
ALFONS X,2022-01-01,167117
ALFONS X,2022-02-01,184490
ALFONS X,2022-03-01,218008
ALFONS X,2022-04-01,216823
ALFONS X,2022-05-01,232958
ALFONS X,2022-06-01,218644
ALFONS X,2022-07-01,216115
ALFONS X,2022-08-01,179444
ALFONS X,2022-09-01,230499
ALFONS X,2022-10-01,247467
ALFONS X,2022-11-01,250027
ALFONS X,2022-12-01,234779
ALFONS X,2023-01-01,250475
ALFONS X,2023-02-01,246449
ALFONS X,2023-03-01,285127
ALFONS X,2023-04-01,259648
ALFONS X,2023-05-01,282373
ALFONS X,2023-06-01,238546
ALFONS X,2023-07-01,121371
ALFONS X,2023-08-01,112192
ALFONS X,2023-09-01,240392
ALFONS X,2023-10-01,274837
ALFONS X,2023-11-01,271786
ARC DEL TRIOMF,2021-01-01,179333
ARC DEL TRIOMF,2021-02-01,202013
ARC DEL TRIOMF,2021-03-01,243888
ARC DEL TRIOMF,2021-04-01,237963
ARC DEL TRIOMF,2021-05-01,271092
ARC DEL TRIOMF,2021-06-01,280063
ARC DEL TRIOMF,2021-07-01,291944
ARC DEL TRIOMF,2021-08-01,262797
ARC DEL TRIOMF,2021-09-01,325221
ARC DEL TRIOMF,2021-10-01,374201
ARC DEL TRIOMF,2021-11-01,364668
ARC DEL TRIOMF,2021-12-01,329990
ARC DEL TRIOMF,2022-01-01,305359
ARC DEL TRIOMF,2022-02-01,341136
ARC DEL TRIOMF,2022-03-01,407901
ARC DEL TRIOMF,2022-04-01,423304
ARC DEL TRIOMF,2022-05-01,445188
ARC DEL TRIOMF,2022-06-01,413561
ARC DEL TRIOMF,2022-07-01,412040
ARC DEL TRIOMF,2022-08-01,357358
ARC DEL TRIOMF,2022-09-01,440630
ARC DEL TRIOMF,2022-10-01,475332
ARC DEL TRIOMF,2022-11-01,436037
ARC DEL TRIOMF,2022-12-01,421653
ARC DEL TRIOMF,2023-01-01,436800
ARC DEL TRIOMF,2023-02-01,444253
ARC DEL TRIOMF,2023-03-01,515004
ARC DEL TRIOMF,2023-04-01,502581
ARC DEL TRIOMF,2023-05-01,527476
ARC DEL TRIOMF,2023-06-01,507583
ARC DEL TRIOMF,2023-07-01,557314
ARC DEL TRIOMF,2023-08-01,474797
ARC DEL TRIOMF,2023-09-01,519823
ARC DEL TRIOMF,2023-10-01,543814
ARC DEL TRIOMF,2023-11-01,516726
ARTIGUES | S. ADRIÀ,2021-01-01,191662
ARTIGUES | S. ADRIÀ,2021-02-01,206152
ARTIGUES | S. ADRIÀ,2021-03-01,243109
ARTIGUES | S. ADRIÀ,2021-04-01,229074
ARTIGUES | S. ADRIÀ,2021-05-01,248318
ARTIGUES | S. ADRIÀ,2021-06-01,255255
ARTIGUES | S. ADRIÀ,2021-07-01,249777
ARTIGUES | S. ADRIÀ,2021-08-01,208748
ARTIGUES | S. ADRIÀ,2021-09-01,259138
ARTIGUES | S. ADRIÀ,2021-10-01,285594
ARTIGUES | S. ADRIÀ,2021-11-01,290811
ARTIGUES | S. ADRIÀ,2021-12-01,279527
ARTIGUES | S. ADRIÀ,2022-01-01,249160
ARTIGUES | S. ADRIÀ,2022-02-01,269240
ARTIGUES | S. ADRIÀ,2022-03-01,314060
ARTIGUES | S. ADRIÀ,2022-04-01,291600
ARTIGUES | S. ADRIÀ,2022-05-01,326455
ARTIGUES | S. ADRIÀ,2022-06-01,305898
ARTIGUES | S. ADRIÀ,2022-07-01,289955
ARTIGUES | S. ADRIÀ,2022-08-01,247654
