DATE,AEROPORT T1,AEROPORT T2,ALFONS X,ARC DEL TRIOMF,ARTIGUES | S. ADRIÀ,AV. CARRILET,BAC DE RODA,BADAL,BADALONA | POMPEU FABRA,BARCELONETA,BARÓ DE VIVER,BELLVITGE,BESÒS,BESÒS MAR,BOGATELL,BON PASTOR,CAMP DE L´ARPA,CAN BOIXERES,CAN CUIÀS,CAN PEIXAUET,CAN SERRA,CAN TRIES - GORNAL,CAN VIDALET,CAN ZAM,CANYELLES,CASA DE L'AIGUA,CATALUNYA,CIUTADELLA,CIUTAT DE LA JUSTÍCIA,CIUTAT MERIDIANA,CLOT,COLLBLANC,CONGRÉS,CORNELLÀ CENTRE,CÈNTRIC,DIAGONAL,DRASSANES,ECOPARC,EL CARMEL,EL COLL | LA TEIXONERA,EL PRAT ESTACIÓ,ENCANTS,ENTENÇA,ERNEST LLUCH,EROPORT T1,ESGLÉSIA MAJOR,ESPANYA,EUROPA - FIRA,FABRA I PUIG,FIRA,FLORIDA,FOC,FONDO,FONERIA,FONTANA,GAVARRA,GIRONA,GLÒRIES,GORG,GUINARDÓ,H. CLÍNIC,H. DE ST. PAU,HORTA,HOSPITAL DE BELLVITGE,HOSTAFRANCS,JAUME I,JOANIC,LA PAU,LA SALUT,LES CORTS,LES MORERES,LESSEPS,LICEU,LLACUNA,LLEFIÀ,LLUCMAJOR,MARAGALL,MARESME - FÒRUM,MARIA CRISTINA,MARINA,MAS BLAU,MERCABARNA,MERCAT NOU,MONTBAU,MONUMENTAL,MUNDET,NAVAS,ONZE DE SETEMBRE,P. COMERCIAL - LA FACTORIA,P. DE GRÀCIA,PALAU REIAL,PARAL.LEL,PARC LOGÍSTIC,PARC NOU,PENITENTS,PEP VENTURA,PG. DE GRÀCIA,PL. DE SANTS,PL. DEL CENTRE,POBLE SEC,POBLENOU,PROVENÇANA,PUBILLA CASAS,R.J.OLIVERAS,ROCAFORT,ROQUETES,SAGRERA,SANT ANTONI,SANT MARTÍ,SANT ROC,SANTA ROSA,SANTS ESTACIÓ,SELVA DE MAR,SGDA. FAMÍLIA,SINGUERLÍN,ST. ANDREU,ST. ILDEFONS,STA. COLOMA,STA. EULÀLIA,TARRAGONA,TETUAN,TORRAS I BAGES,TORRASSA,TORRE BARÓ|VALLBONA,TRINITAT NOVA,TRINITAT VELLA,UNIVERSITAT,URGELL,URQUINAONA,VALL D´HEBRON,VALLCARCA,VALLDAURA,VERDAGUER,VERNEDA,VIA JÚLIA,VILAPICINA,VIRREI AMAT,Z.UNIVERSITÀRIA,ZAL - RIU VELL,ZONA FRANCA,ZONA UNIVERSITÀRIA
2021-01-01,,4349.0,128976.0,179333.0,191662.0,142792.0,117848.0,186644.0,179938.0,144247.0,21830.0,88596.0,51303.0,83072.0,47549.0,64803.0,130552.0,56481.0,18160.0,52668.0,84871.0,31690.0,185809.0,15821.0,68620.0,2651.0,533378.0,61220.0,19595.0,31192.0,292081.0,306608.0,76831.0,150353.0,47935.0,605601.0,112347.0,0.0,152393.0,85055.0,27123.0,96998.0,156009.0,0.0,29923.0,16646.0,430967.0,51054.0,265434.0,16007.0,120558.0,25422.0,243833.0,36209.0,178196.0,60945.0,60774.0,219937.0,77399.0,84634.0,309725.0,181454.0,140077.0,63096.0,79004.0,135051.0,194303.0,109740.0,89264.0,80597.0,33985.0,174751.0,180714.0,66390.0,68671.0,149040.0,184579.0,76581.0,114322.0,115717.0,30802.0,31048.0,77605.0,60045.0,76147.0,61878.0,112742.0,35322.0,0.0,215327.0,54576.0,309019.0,11941.0,19152.0,55012.0,79700.0,94860.0,241800.0,65776.0,185557.0,122543.0,28790.0,280565.0,99051.0,160514.0,67661.0,479945.0,192160.0,143757.0,80042.0,56871.0,341642.0,61991.0,344040.0,35372.0,171120.0,156526.0,162621.0,245155.0,43502.0,90017.0,113591.0,223217.0,20424.0,82243.0,70219.0,281220.0,138474.0,257298.0,157358.0,106015.0,53582.0,231837.0,27387.0,129494.0,133601.0,180101.0,63690.0,0.0,12794.0,21230.0
2021-02-01,,3981.0,134840.0,202013.0,206152.0,158926.0,126803.0,189213.0,192867.0,159511.0,24807.0,99012.0,53341.0,87649.0,53136.0,67772.0,139264.0,62002.0,20219.0,55135.0,90004.0,35096.0,195504.0,17016.0,75283.0,2868.0,551193.0,68774.0,22163.0,33288.0,316172.0,326708.0,81491.0,165306.0,50349.0,660436.0,124613.0,0.0,158424.0,88083.0,28340.0,100296.0,171205.0,0.0,20920.0,17927.0,465419.0,49795.0,255675.0,16663.0,126347.0,29087.0,254662.0,36678.0,191707.0,69302.0,69366.0,229799.0,84185.0,87285.0,345250.0,193909.0,146326.0,67428.0,84766.0,143273.0,204163.0,115836.0,95865.0,90146.0,37149.0,190610.0,187468.0,72723.0,70804.0,154895.0,190658.0,71266.0,124435.0,129211.0,27654.0,34130.0,81495.0,65023.0,82453.0,72640.0,117389.0,44191.0,0.0,234920.0,64653.0,326159.0,14401.0,20672.0,59723.0,88535.0,99237.0,265482.0,68474.0,195912.0,131067.0,30080.0,297104.0,99570.0,177199.0,71524.0,519569.0,200361.0,152334.0,84619.0,59743.0,362909.0,66807.0,374414.0,36602.0,183499.0,167164.0,176174.0,262848.0,48177.0,101860.0,118833.0,236288.0,22250.0,87634.0,75403.0,293785.0,158414.0,267388.0,171785.0,111505.0,58351.0,258734.0,30218.0,136733.0,140671.0,190434.0,74174.0,0.0,13451.0,24725.0
2021-03-01,,4767.0,159040.0,243888.0,243109.0,191916.0,150165.0,230492.0,235636.0,196665.0,27727.0,118414.0,65078.0,102112.0,65207.0,81584.0,164853.0,73914.0,22954.0,62992.0,106794.0,42017.0,229581.0,20633.0,87045.0,3202.0,720173.0,88712.0,26214.0,37121.0,378016.0,389992.0,97325.0,197536.0,63711.0,770286.0,151476.0,0.0,184804.0,101891.0,36276.0,121249.0,202088.0,0.0,25980.0,20423.0,579858.0,74281.0,343146.0,20108.0,147865.0,33775.0,307255.0,43181.0,224684.0,84314.0,78749.0,300989.0,103006.0,104614.0,402655.0,226568.0,171092.0,82451.0,99585.0,161930.0,242368.0,138245.0,113964.0,108460.0,45385.0,226703.0,222281.0,87558.0,84184.0,183972.0,225871.0,105332.0,156105.0,157825.0,33184.0,40054.0,95432.0,76277.0,95749.0,90683.0,138185.0,51257.0,0.0,290795.0,91482.0,385902.0,15751.0,25739.0,71974.0,105155.0,123911.0,307579.0,82669.0,233024.0,154740.0,34769.0,347290.0,126625.0,211570.0,82040.0,623360.0,231418.0,178367.0,98803.0,68722.0,459101.0,79921.0,443324.0,41007.0,220930.0,196309.0,213544.0,309621.0,58032.0,114385.0,150943.0,282135.0,24786.0,106310.0,90331.0,353357.0,186799.0,333278.0,200422.0,131662.0,66399.0,302333.0,35377.0,159671.0,165059.0,222936.0,94923.0,0.0,15590.0,31641.0
2021-04-01,,4780.0,149566.0,237963.0,229074.0,179219.0,141936.0,220202.0,222257.0,188255.0,26711.0,113668.0,62157.0,97388.0,60413.0,77894.0,159086.0,69303.0,21577.0,61045.0,102755.0,40239.0,217145.0,19549.0,82220.0,2994.0,687586.0,88691.0,24320.0,35453.0,364305.0,366036.0,92235.0,185275.0,60328.0,722219.0,144441.0,0.0,175464.0,96700.0,33580.0,115783.0,189423.0,0.0,30056.0,19081.0,544698.0,70590.0,331842.0,18676.0,138648.0,31101.0,290987.0,41170.0,210789.0,79649.0,75299.0,275802.0,98513.0,102109.0,382474.0,216575.0,163990.0,77567.0,96452.0,159381.0,232276.0,132503.0,107085.0,101550.0,41619.0,216944.0,218155.0,85176.0,79720.0,174492.0,213808.0,101943.0,138582.0,147849.0,33371.0,37693.0,92338.0,71453.0,91261.0,87863.0,133475.0,48658.0,0.0,280209.0,90318.0,361686.0,14167.0,24632.0,66789.0,99720.0,119692.0,291754.0,78763.0,215477.0,147301.0,33657.0,330231.0,121133.0,201092.0,78765.0,588227.0,223238.0,168963.0,93446.0,65252.0,432168.0,76475.0,424478.0,40755.0,207698.0,185138.0,199412.0,291558.0,55454.0,110984.0,144465.0,266615.0,23007.0,102477.0,83948.0,340299.0,175202.0,317378.0,187770.0,122191.0,65252.0,284694.0,33154.0,149606.0,157362.0,213819.0,91429.0,0.0,14555.0,30476.0
2021-05-01,,6455.0,159939.0,271092.0,248318.0,198128.0,154095.0,241003.0,242720.0,227551.0,28617.0,123216.0,66486.0,105328.0,67353.0,83419.0,172176.0,75260.0,21471.0,65840.0,111536.0,43326.0,235478.0,21251.0,87511.0,3148.0,782785.0,112467.0,27222.0,37039.0,394606.0,403421.0,98688.0,202661.0,65513.0,779482.0,167901.0,0.0,186799.0,103180.0,37344.0,125816.0,200519.0,0.0,48278.0,20248.0,605054.0,80331.0,367216.0,21479.0,149924.0,33624.0,310798.0,44105.0,234719.0,86195.0,85288.0,314999.0,107354.0,109310.0,409476.0,237238.0,178563.0,83153.0,96603.0,182611.0,254524.0,141638.0,115477.0,110792.0,46617.0,239940.0,248045.0,98229.0,85018.0,187471.0,226863.0,116671.0,157272.0,170160.0,38007.0,38924.0,98417.0,77225.0,100837.0,91513.0,141681.0,52288.0,0.0,308817.0,96587.0,397272.0,14566.0,27466.0,71647.0,107630.0,132349.0,321253.0,84892.0,237238.0,162724.0,36601.0,357599.0,136007.0,220842.0,83347.0,642662.0,244664.0,182406.0,100107.0,69396.0,519720.0,83812.0,486584.0,43399.0,232244.0,198708.0,217441.0,316150.0,62536.0,121424.0,154972.0,293207.0,24635.0,110068.0,92985.0,374273.0,193778.0,357455.0,202240.0,135382.0,69212.0,315359.0,35835.0,160270.0,169459.0,231315.0,100301.0,0.0,15254.0,33434.0
2021-06-01,,12485.0,166533.0,280063.0,255255.0,202681.0,156815.0,244469.0,262036.0,267833.0,26977.0,123649.0,68705.0,106162.0,76515.0,87747.0,174642.0,75849.0,20646.0,65865.0,113857.0,43950.0,239994.0,22301.0,86769.0,1905.0,826958.0,141480.0,28181.0,34187.0,411812.0,414205.0,100285.0,203602.0,69141.0,809325.0,183646.0,0.0,192819.0,104800.0,39077.0,130227.0,206233.0,0.0,57668.0,20540.0,647837.0,94758.0,376232.0,26807.0,154294.0,32081.0,321037.0,44336.0,235877.0,86141.0,86233.0,334419.0,113320.0,114763.0,410690.0,243665.0,179782.0,81322.0,102310.0,192995.0,269539.0,144976.0,119530.0,116464.0,46346.0,247549.0,275853.0,101854.0,87140.0,191850.0,233598.0,129697.0,166970.0,179750.0,40864.0,41720.0,99651.0,78686.0,106028.0,81716.0,146785.0,52358.0,0.0,326226.0,105071.0,416193.0,15623.0,28117.0,70124.0,113952.0,141793.0,325130.0,87446.0,242656.0,176067.0,37649.0,358109.0,143482.0,228707.0,81793.0,647260.0,246538.0,184035.0,104520.0,69820.0,544944.0,93604.0,530126.0,43034.0,241413.0,204070.0,225827.0,322439.0,63959.0,122961.0,161602.0,300597.0,23480.0,108150.0,92767.0,385268.0,197504.0,372633.0,202362.0,138367.0,68441.0,325994.0,36973.0,163060.0,170763.0,232309.0,97734.0,0.0,16073.0,32578.0
2021-07-01,,24597.0,158983.0,291944.0,249777.0,190608.0,144289.0,232205.0,255420.0,289403.0,24188.0,110651.0,62296.0,102653.0,72995.0,86468.0,159892.0,68846.0,26.0,62252.0,106724.0,40093.0,231210.0,20440.0,73110.0,0.0,870104.0,140380.0,27016.0,4.0,404284.0,402244.0,91069.0,195499.0,67803.0,783461.0,193746.0,0.0,182197.0,97094.0,37747.0,122195.0,189576.0,11958.0,68592.0,17713.0,651306.0,90375.0,352479.0,24655.0,151482.0,30193.0,314574.0,41976.0,232347.0,82780.0,80285.0,332412.0,110532.0,102997.0,364680.0,237368.0,167597.0,73827.0,95731.0,210814.0,250427.0,139709.0,114628.0,107127.0,44599.0,250675.0,322318.0,99876.0,83487.0,178886.0,214904.0,147906.0,149679.0,162375.0,37116.0,43293.0,93219.0,70893.0,100327.0,64480.0,137389.0,48252.0,0.0,342924.0,85196.0,412738.0,16226.0,28004.0,63234.0,108921.0,151896.0,292259.0,79270.0,231672.0,167926.0,36105.0,343449.0,132283.0,224415.0,72705.0,605231.0,239335.0,167960.0,106370.0,68506.0,555365.0,93467.0,569298.0,38314.0,218520.0,199180.0,212636.0,305275.0,57382.0,116819.0,155467.0,291986.0,4.0,56617.0,89228.0,379775.0,185343.0,371886.0,184599.0,134201.0,56180.0,308707.0,35810.0,180781.0,160583.0,224334.0,71273.0,0.0,16365.0,23758.0
2021-08-01,,29995.0,126415.0,262797.0,208748.0,151788.0,110896.0,193428.0,191044.0,286727.0,18986.0,84746.0,51952.0,88751.0,62982.0,70961.0,120171.0,52750.0,0.0,45551.0,91270.0,30324.0,192334.0,17239.0,52597.0,0.0,747449.0,127334.0,20173.0,0.0,323936.0,340563.0,65296.0,149905.0,57411.0,588281.0,194602.0,0.0,152993.0,80568.0,32812.0,95080.0,133696.0,58260.0,82334.0,13272.0,585950.0,84345.0,274886.0,20981.0,133257.0,24311.0,271504.0,35142.0,181179.0,64315.0,63411.0,278980.0,89077.0,75335.0,263051.0,184005.0,124159.0,54596.0,75728.0,190148.0,205632.0,113257.0,89082.0,87783.0,35466.0,217927.0,321416.0,96544.0,70737.0,139474.0,169065.0,131214.0,113577.0,122620.0,37142.0,39348.0,73482.0,54112.0,80984.0,49131.0,109442.0,34578.0,0.0,297306.0,63827.0,359707.0,15260.0,24094.0,45491.0,82715.0,123146.0,234848.0,60940.0,187893.0,139838.0,29341.0,270493.0,101601.0,171192.0,60205.0,476460.0,198999.0,131128.0,89199.0,58116.0,517753.0,78550.0,527119.0,28359.0,161237.0,167639.0,164719.0,248927.0,45306.0,90863.0,121995.0,259881.0,0.0,46968.0,70956.0,309737.0,146278.0,311226.0,141626.0,105762.0,43080.0,242624.0,28320.0,144662.0,129125.0,173161.0,50075.0,0.0,14857.0,16692.0
2021-09-01,,33613.0,172651.0,325221.0,259138.0,208654.0,159264.0,255350.0,259034.0,300976.0,28214.0,126170.0,70156.0,108829.0,89054.0,88844.0,174285.0,74276.0,11916.0,62454.0,115605.0,45287.0,233090.0,24837.0,88173.0,1336.0,953505.0,143599.0,29305.0,19452.0,419665.0,414027.0,95797.0,203718.0,66113.0,871729.0,228426.0,0.0,190989.0,104382.0,42387.0,133344.0,209228.0,86195.0,80247.0,19265.0,773641.0,100266.0,377496.0,25680.0,153852.0,37044.0,321532.0,40629.0,259646.0,88880.0,97474.0,356807.0,115167.0,111307.0,421776.0,261301.0,184503.0,95224.0,111172.0,241106.0,276234.0,150062.0,117139.0,130746.0,50967.0,284429.0,360644.0,126768.0,85688.0,187964.0,233527.0,155771.0,181366.0,198868.0,33959.0,43469.0,99963.0,78624.0,115666.0,115559.0,149292.0,51926.0,0.0,387537.0,171747.0,453424.0,16408.0,29851.0,74813.0,115727.0,157770.0,334231.0,93995.0,258813.0,187932.0,37460.0,318316.0,135208.0,261817.0,80774.0,669121.0,252483.0,185048.0,108337.0,71827.0,634308.0,98138.0,622037.0,39214.0,242270.0,199735.0,222319.0,323284.0,78541.0,139224.0,158454.0,303276.0,12835.0,108939.0,92198.0,450289.0,214195.0,419931.0,210445.0,148620.0,70449.0,349541.0,38278.0,156922.0,169787.0,236722.0,131504.0,0.0,16652.0,43835.0
2021-10-01,,40873.0,201065.0,374201.0,285594.0,245159.0,181821.0,288832.0,296238.0,323058.0,31827.0,146047.0,78615.0,117478.0,102393.0,98949.0,194197.0,82941.0,21881.0,62246.0,130373.0,53392.0,254824.0,26157.0,107695.0,3029.0,1138937.0,179030.0,33089.0,39707.0,463197.0,467303.0,110692.0,232396.0,84761.0,1007457.0,276400.0,0.0,210971.0,116404.0,41416.0,151624.0,243957.0,108337.0,79529.0,22177.0,925776.0,108532.0,448085.0,29653.0,169611.0,45665.0,355451.0,50039.0,301601.0,98887.0,110721.0,436233.0,123820.0,128749.0,486463.0,294945.0,200088.0,108023.0,125607.0,288219.0,320100.0,169054.0,125998.0,158610.0,58300.0,332243.0,427644.0,146462.0,93047.0,211323.0,263628.0,170268.0,210917.0,256956.0,31996.0,43024.0,114003.0,91672.0,133685.0,173667.0,169218.0,58011.0,0.0,453061.0,237681.0,544368.0,16525.0,34012.0,85305.0,126680.0,190426.0,389409.0,113338.0,299965.0,195838.0,41627.0,347571.0,155034.0,291288.0,91111.0,781588.0,286143.0,212754.0,117653.0,72580.0,683818.0,109392.0,723803.0,51844.0,276309.0,218287.0,248914.0,363596.0,87551.0,162904.0,181480.0,338974.0,24176.0,121676.0,98511.0,536704.0,246113.0,497432.0,244978.0,169140.0,81881.0,400034.0,41672.0,173901.0,188233.0,263844.0,169332.0,0.0,16575.0,56444.0
